id,question,sources,answer,human_faithfulness,comment
q01,Как правильно жать штангу лёжа? Под каким углом держать локти?,"[1] Жим штанги лёжа
Упражнение: Жим штанги лёжа. Группа мышц: грудь. Инвентарь: barbell. Техника: Лягте на скамью, лопатки сведены, ступни прижаты к полу. Опустите штангу к середине груди, локти под углом ~45°, затем выжмите вверх до полного, но не жёсткого выпрямления рук. Польза: Развивает силу и массу грудных мышц, передних дельт и трицепсов. Противопоказания: При травмах плеч, локтей или болях в груди работайте с малым весом и обязательно используйте страховку или раму безопасности.

[2] Жим штанги лёжа узким хватом
Упражнение: Жим штанги лёжа узким хватом. Группа мышц: грудь. Инвентарь: barbell. Техника: Лягте на горизонтальную скамью и снимите гриф со стоек хватом примерно на ширине плеч, руки выпрямлены. Медленно опустите штангу к середине груди, держа локти прижатыми к корпусу, — так нагрузка уходит на трицепс. Выжмите вверх до выпрямления рук: вниз штанга должна идти минимум вдвое дольше, чем вверх. Закончив, верните гриф на стойки.

[3] Складка лёжа
Упражнение: Складка лёжа. Группа мышц: пресс. Техника: Лягте на спину, руки вытянуты за головой, ноги прямые. Одновременно поднимите руки и прямые ноги навстречу друг другу, отрывая корпус от пола. Ноги идут примерно на 35–45° к полу, руки — параллельно им.

[4] Жим гантелей лёжа
Упражнение: Жим гантелей лёжа. Группа мышц: грудь. Инвентарь: dumbbell. Техника: Лёжа на скамье, гантели на уровне груди, локти под углом ~45°. Выжмите гантели вверх до сближения, затем подконтрольно опустите до растяжения грудных мышц. Польза: Развивает грудные мышцы с большей амплитудой и вовлекает мышцы-стабилизаторы плеча. Противопоказания: При нестабильности или болях в плечах берите умеренный вес и не опускайте гантели слишком глубоко.","Лягте на скамью, сведите лопатки и прижмите ступни к полу [1]. Опустите штангу к середине груди, держа локти под углом ~45°, и выжмите её вверх до полного, но не жёсткого выпрямления рук [1]. Упражнение развивает силу и массу грудных мышц, передних дельт и трицепсов [1]. Если есть травмы плеч или локтей, берите малый вес и обязательно используйте страховку или раму безопасности [1].

Это общая инф",,
q02,До какой глубины надо опускаться в приседе со штангой?,"[1] Приседания со штангой
Упражнение: Приседания со штангой. Группа мышц: ноги. Инвентарь: barbell. Техника: Штанга на верхней части спины, стопы на ширине плеч. Опускайтесь, отводя таз назад и сгибая колени, пока бёдра не достигнут параллели с полом, спина прямая. Поднимитесь, отталкиваясь пятками. Польза: Развивает силу и массу квадрицепсов, ягодиц и бёдер, укрепляет мышцы кора. Противопоказания: Осторожно при болях в пояснице и проблемах с коленями — снизьте вес и строго следите за техникой.

[2] Тяга штанги в наклоне
Упражнение: Тяга штанги в наклоне. Группа мышц: спина. Инвентарь: barbell. Техника: Наклоните корпус вперёд примерно до 45 градусов, сохраняя спину прямой и слегка согнув колени. Тяните штангу к низу живота за счёт сведения лопаток, затем плавно опустите. Польза: Развивает толщину спины — широчайшие, ромбовидные и трапециевидные мышцы. Противопоказания: С осторожностью при проблемах с поясницей; держите спину нейтральной и не округляйте её под нагрузкой.

[3] Жим штанги лёжа узким хватом
Упражнение: Жим штанги лёжа узким хватом. Группа мышц: грудь. Инвентарь: barbell. Техника: Лягте на горизонтальную скамью и снимите гриф со стоек хватом примерно на ширине плеч, руки выпрямлены. Медленно опустите штангу к середине груди, держа локти прижатыми к корпусу, — так нагрузка уходит на трицепс. Выжмите вверх до выпрямления рук: вниз штанга должна идти минимум вдвое дольше, чем вверх. Закончив, верните гриф на стойки.

[4] Прыжки в длину с места
Упражнение: Прыжки в длину с места. Группа мышц: кардио. Техника: Встаньте в полуприсед на мягкой поверхности, ноги на ширине плеч. Мощным махом рук и подседом ног прыгните вперёд как можно дальше. Приземляйтесь на обе ноги, вынося их вперёд и вытягивая как можно дальше от точки отталкивания.","В приседе со штангой опускайтесь, отводя таз назад и сгибая колени, пока бёдра не достигнут параллели с полом, спина прямая [1]. Поднимайтесь, отталкиваясь пятками [1].

Это общая информация, а не медицинская консультация.",,
q13,"Зачем делать тягу гантели одной рукой, а не двумя сразу?","[1] Тяга гантели одной рукой
Упражнение: Тяга гантели одной рукой. Группа мышц: спина. Инвентарь: dumbbell. Техника: Упритесь одноимённой рукой и коленом в скамью, спина параллельна полу. Свободной рукой тяните гантель к поясу вдоль корпуса за счёт сведения лопатки, затем плавно опустите. Польза: Прорабатывает широчайшие мышцы спины каждой стороны отдельно, устраняя мышечный дисбаланс. Противопоказания: Избегайте скручивания и рывков корпусом; при болях в пояснице обеспечьте надёжную опору рукой и коленом.

[2] Тяга гантелей в наклоне двумя руками
Упражнение: Тяга гантелей в наклоне двумя руками. Группа мышц: спина. Инвентарь: dumbbell. Техника: Возьмите гантели в обе руки ладонями к корпусу, слегка согните колени и наклоните корпус вперёд почти до параллели с полом, спина прямая, голова поднята. Не двигая корпусом, поднимите гантели к бокам, держа локти близко к телу; предплечья только удерживают вес. В верхней точке напрягите мышцы спины и задержитесь на секунду, затем медленно опустите гантели в исходное положение.

[3] Жим гантелей стоя попеременно
Упражнение: Жим гантелей стоя попеременно. Группа мышц: плечи. Инвентарь: dumbbell. Техника: Встаньте с гантелями у плеч, ладони направлены вперёд, локти разведены в стороны. Выжмите одну гантель строго вверх, вторая рука остаётся на месте, корпус не наклоняйте и не подбрасывайте вес. Опустите и повторите другой рукой, чередуя стороны.

[4] Разгибание гантели в наклоне (кикбэк)
Упражнение: Разгибание гантели в наклоне (кикбэк). Группа мышц: руки. Инвентарь: dumbbell. Техника: Возьмите гантели, ладони к корпусу, и наклонитесь вперёд почти до параллели с полом: спина прямая, колени слегка согнуты, голова поднята. Прижмите плечи к корпусу параллельно полу, предплечья опустите вниз — между плечом и предплечьем 90°. Не двигая плечами, разгибайте руки назад до полного выпрямления; работают только предплечья. В верхней точке задержитесь и медленно опустите гантели.","Тяга одной рукой позволяет прорабатывать широчайшие мышцы спины каждой стороны отдельно и устранять мышечный дисбаланс [1]. В варианте двумя руками такого разделения нет: обе стороны работают одновременно, и более слабая может «прятаться» за сильной [2].

Это общая информация, а не медицинская консультация.",,
q18,У меня проблемы с коленями. Можно ли мне приседать со штангой?,"[1] Приседания со штангой
Упражнение: Приседания со штангой. Группа мышц: ноги. Инвентарь: barbell. Техника: Штанга на верхней части спины, стопы на ширине плеч. Опускайтесь, отводя таз назад и сгибая колени, пока бёдра не достигнут параллели с полом, спина прямая. Поднимитесь, отталкиваясь пятками. Польза: Развивает силу и массу квадрицепсов, ягодиц и бёдер, укрепляет мышцы кора. Противопоказания: Осторожно при болях в пояснице и проблемах с коленями — снизьте вес и строго следите за техникой.

[2] Жим штанги стоя
Упражнение: Жим штанги стоя. Группа мышц: плечи. Инвентарь: barbell. Техника: Снимите штангу со стоек на грудь, хват сверху чуть шире плеч, стопы на ширине плеч. Выжмите штангу над головой до полного выпрямления рук, удерживая её чуть впереди линии головы. На вдохе медленно опустите гриф к ключицам и выжмите обратно на выдохе. Польза: Сильные плечи и стабильный корпус. Противопоказания: Травмы плеч и поясницы.

[3] Жим штанги лёжа
Упражнение: Жим штанги лёжа. Группа мышц: грудь. Инвентарь: barbell. Техника: Лягте на скамью, лопатки сведены, ступни прижаты к полу. Опустите штангу к середине груди, локти под углом ~45°, затем выжмите вверх до полного, но не жёсткого выпрямления рук. Польза: Развивает силу и массу грудных мышц, передних дельт и трицепсов. Противопоказания: При травмах плеч, локтей или болях в груди работайте с малым весом и обязательно используйте страховку или раму безопасности.

[4] Планка с подтягиванием колена
Упражнение: Планка с подтягиванием колена. Группа мышц: пресс. Техника: Примите упор лёжа на прямых руках, тело в одну линию от макушки до пяток, плечи над ладонями. Подтяните колено к груди, не поднимая таз, и верните ногу назад в упор. Чередуйте ноги, сохраняя линию корпуса.","Приседать со штангой при проблемах с коленями можно, но с осторожностью: рекомендуется снизить вес и строго следить за техникой [1]. В карточке упражнения прямой замены не указано. При боли в коленях обязательно скажите тренеру — он подберёт безопасный вариант нагрузки.

Это общая информация, а не медицинская консультация.",,
q19,После бега на дорожке ноют колени. Чем заменить бег?,"[1] Бег на дорожке
Упражнение: Бег на дорожке. Группа мышц: кардио. Инвентарь: machine. Техника: Корпус прямой, взгляд вперёд, приземляйтесь на среднюю часть стопы под центром тяжести. Начните с разминочной ходьбы, плавно повышайте скорость и наклон, держите дыхание ровным. Польза: Развивает выносливость сердечно-сосудистой системы и помогает сжигать калории. Противопоказания: При болях в коленях, голеностопе или пояснице снизьте скорость и наклон или замените на ходьбу.

[2] Растяжка подколенных сухожилий
Упражнение: Растяжка подколенных сухожилий. Группа мышц: растяжка. Техника: Накиньте ремень или ленту на стопу и встаньте, выставив эту ногу вперёд. Заднюю ногу согните, переднюю держите прямой, поднимите носок передней стопы от пола и наклонитесь вперёд. Ремнём потяните носок на себя, усиливая растяжение икры. Держите 10–20 секунд и повторите на другую ногу.

[3] Скакалка
Упражнение: Скакалка. Группа мышц: кардио. Инвентарь: bodyweight. Техника: Прыгайте на носках невысоко, колени мягко амортизируют приземление, локти прижаты к корпусу. Вращайте скакалку движением кистей, держите ровный ритм. Польза: Развивает выносливость, координацию и скорость, активно сжигает калории. Противопоказания: При проблемах с коленями, голеностопом или варикозе ограничьте объём и приземляйтесь мягко на носок.

[4] Велотренажёр
Упражнение: Велотренажёр. Группа мышц: кардио. Инвентарь: machine. Техника: Отрегулируйте седло так, чтобы в нижней точке нога была почти выпрямлена, спину держите ровно без лишнего наклона. Крутите педали плавно и равномерно, регулируя нагрузку и темп под свою задачу. Польза: Тренирует выносливость и мышцы ног с минимальной ударной нагрузкой на суставы. Противопоказания: При болях в коленях или пояснице уменьшите сопротивление и проверьте высоту седла.","По карточке бега на дорожке: при боли в коленях снизьте скорость и наклон или замените бег на ходьбу [1]. Как варианты кардио с меньшей нагрузкой на колени в источниках указаны велотренажёр — тренирует выносливость с минимальной ударной нагрузкой на суставы [4] — и скакалка, при которой нужно ограничить объём и мягко приземляться на носок [3]. При боли обязательно скажите тренеру.

Это общая инфор",,
q25,"у меня варикоз, на скакалке прыгать можно?","[1] Скакалка
Упражнение: Скакалка. Группа мышц: кардио. Инвентарь: bodyweight. Техника: Прыгайте на носках невысоко, колени мягко амортизируют приземление, локти прижаты к корпусу. Вращайте скакалку движением кистей, держите ровный ритм. Польза: Развивает выносливость, координацию и скорость, активно сжигает калории. Противопоказания: При проблемах с коленями, голеностопом или варикозе ограничьте объём и приземляйтесь мягко на носок.

[2] WHO guidelines on physical activity and sedentary behaviour (2020), стр. 71
There are no major risks to adults living with disability engaging in physical activity when it is appropriate to the 
individual’s current activity level, health status and physical function; and when the health benefits accrued outweigh 
the risks. 
• Adults living with disability may need to consult a health-care professional or other physical activity and disability

[3] Двойные прыжки на скакалке
Упражнение: Двойные прыжки на скакалке. Группа мышц: кардио. Техника: Встаньте прямо, ноги вместе, локти прижаты к корпусу, скакалка за пятками. Оттолкнитесь стопами вверх и за один прыжок проведите скакалку под ногами дважды, ускоряя вращение кистями.

[4] WHO guidelines on physical activity and sedentary behaviour (2020), стр. 70
There are no major risks for children and adolescents living with disability engaging in physical activity when it is 
appropriate to an individual’s current activity level, health status and physical function; and the health benefits accrued 
outweigh the risks. 
• Children and adolescents living with disability may need to consult a health-care professional or other physical activity","При варикозе можно прыгать на скакалке, но с ограничениями: уменьшите объём и приземляйтесь мягко на носок [1]. Это не диагноз — при любой боли или дискомфорте скажите тренеру, чтобы он скорректировал нагрузку.

Это общая информация, а не медицинская консультация.",,
q27,Какие противопоказания у жима штанги стоя?,"[1] Жим штанги стоя
Упражнение: Жим штанги стоя. Группа мышц: плечи. Инвентарь: barbell. Техника: Снимите штангу со стоек на грудь, хват сверху чуть шире плеч, стопы на ширине плеч. Выжмите штангу над головой до полного выпрямления рук, удерживая её чуть впереди линии головы. На вдохе медленно опустите гриф к ключицам и выжмите обратно на выдохе. Польза: Сильные плечи и стабильный корпус. Противопоказания: Травмы плеч и поясницы.

[2] Становая тяга
Упражнение: Становая тяга. Группа мышц: спина. Инвентарь: barbell. Техника: Поставьте стопы под гриф на ширине таза, возьмитесь за штангу чуть шире бёдер. Держа спину прямой и грудь раскрытой, оторвите штангу от пола за счёт разгибания ног и таза, ведя гриф вдоль ног. В верхней точке выпрямитесь полностью, не отклоняясь назад. Польза: Развивает всю заднюю цепь — разгибатели спины, ягодицы, бицепсы бёдер — и формирует общую силу тела. Противопоказания: С осторожностью при грыжах и проблемах с поясницей; начинайте с малых весов и безупречной техники, держа спину нейтральной.

[3] Жим штанги лёжа
Упражнение: Жим штанги лёжа. Группа мышц: грудь. Инвентарь: barbell. Техника: Лягте на скамью, лопатки сведены, ступни прижаты к полу. Опустите штангу к середине груди, локти под углом ~45°, затем выжмите вверх до полного, но не жёсткого выпрямления рук. Польза: Развивает силу и массу грудных мышц, передних дельт и трицепсов. Противопоказания: При травмах плеч, локтей или болях в груди работайте с малым весом и обязательно используйте страховку или раму безопасности.

[4] Тяга штанги в наклоне
Упражнение: Тяга штанги в наклоне. Группа мышц: спина. Инвентарь: barbell. Техника: Наклоните корпус вперёд примерно до 45 градусов, сохраняя спину прямой и слегка согнув колени. Тяните штангу к низу живота за счёт сведения лопаток, затем плавно опустите. Польза: Развивает толщину спины — широчайшие, ромбовидные и трапециевидные мышцы. Противопоказания: С осторожностью при проблемах с поясницей; держите спину нейтральной и не округляйте её под нагрузкой.","У жима штанги стоя противопоказания — травмы плеч и поясницы [1]. При боли в этих зонах обязательно скажите тренеру, чтобы он скорректировал нагрузку или подобрал замену.

Это общая информация, а не медицинская консультация.",,
q32,Сколько килокалорий Tulpar считает в одном килограмме веса?,"[1] Правила питания Tulpar — Питание
<!-- Источник: Tulpar docs/nutrition.md, выгружено tools/export_from_tulpar.py -->

[2] Правила питания Tulpar — Ключевые инварианты
ABLED`): фото/план/рецепт → `503`, совет → `tip:null`. Штрихкод (OpenFoodFacts) работает без ключа.
- **Безопасный темп нормы.** `KCAL_PER_KG=7700`, потеря ≤0.75%/нед, набор ≤`SAFE_GAIN_KG_WK=0.35` кг/нед, абсолютный пол 1500 (м) / 1200 (ж). `bmr*1.1` НЕ используется как пол (маскировал активность — фикс 2026-06-26).

[3] WHO guidelines on physical activity and sedentary behaviour (2020), стр. 9
nt of task, or simply metabolic equivalent, is a physiological measure expressing the intensity of 
physical activities. One MET is the energy equivalent expended by an individual while seated at rest.
Moderate-intensity 
physical activity 
On an absolute scale, moderate-intensity refers to the physical activity that is performed between 3 and less than 
6 times the intensity of rest.

[4] Правила питания Tulpar — Ключевые инварианты
## Ключевые инварианты

- **Снимок на 100 г.** `DiaryEntry` и items шаблонов/рецептов/фото хранят `kcal/protein/fat/carbs` **на 100 г** + `grams` отдельно. Поэтому правка/удаление исходного `Food` не переписывает уже залогированный день. Модель vision/ИИ возвращает БЖУ **всей порции** → сервер делит на per-100 г: `k = 100/grams` (`_norm_item`). Рецепт логируется одним блюдом: combined per-100 г = `total*100/totalGrams`.
- **Флайвил OFF.** `barcode_lookup` кэширует находку OpenFoodFacts как `is_preset=True` Food → следующий скан (у любого) мгновенный, и продукт ищется по имени.
- **Деградация без ключа.** Реальный гейт ИИ — наличие **`OLLAMA_API_KEY`** (НЕ `AI_ENABLED`): фото/план/рецепт → `503`, совет → `tip:null`. Штрихкод (OpenFoodFacts) работает без ключа.","Tulpar считает, что 1 кг массы тела соответствует 7700 ккал [2]. Это значение используется для расчёта безопасного темпа изменения веса [2].

Это общая информация, а не медицинская консультация.",,
q35,Какой минимум калорий в день Tulpar ставит женщине?,"[1] Правила питания Tulpar — Ключевые инварианты
ABLED`): фото/план/рецепт → `503`, совет → `tip:null`. Штрихкод (OpenFoodFacts) работает без ключа.
- **Безопасный темп нормы.** `KCAL_PER_KG=7700`, потеря ≤0.75%/нед, набор ≤`SAFE_GAIN_KG_WK=0.35` кг/нед, абсолютный пол 1500 (м) / 1200 (ж). `bmr*1.1` НЕ используется как пол (маскировал активность — фикс 2026-06-26).

[2] Правила питания Tulpar — Питание
<!-- Источник: Tulpar docs/nutrition.md, выгружено tools/export_from_tulpar.py -->

[3] Правила питания Tulpar — Эндпоинты
## Эндпоинты

| Группа | Эндпоинты | Что делает |
|---|---|---|
| **Норма (A4)** | `GET /me/nutrition-target?activity&goal`, `PUT /me/nutrition-goal` | Mifflin-St Jeor BMR × активность → калории+БЖУ. При «точной цели» (вес+дата) калории считаются от безопасного темпа; обратная связь по тренду веса. |
| **Продукты** | `GET/POST /foods` | Пресет-каталог (`is_preset`) + личные (`created_by_user_id`), поиск по имени. |
| **Дневник** | `GET/POST/PATCH/DELETE /me/diary` | Лог приёмов на дату. **Снимок БЖУ на 100 г** хранится в записи (см. ниже). `grams>0`, макросы `≥0` валидируются. |
| **Фото (B)** | `POST /nutrition/photo-estimate` | Фото блюда → Ollama vision → редактируемый черновик. |
| **ИИ-нутрициолог (C3)** | `POST /nutrition/ai/day-plan`, `POST /nutrition/ai/tip` | План дня под норму; совет от съеденного vs норма. |

[4] Правила питания Tulpar — Эндпоинты
rition/ai/day-plan`, `POST /nutrition/ai/tip` | План дня под норму; совет от съеденного vs норма. |
| **Шаблоны (C1)** | `GET/POST/DELETE /nutrition/templates` | Пресеты + сохранённый «свой день»; применяются в дневник. |
| **Рецепты (C4)** | `GET/POST/DELETE /nutrition/recipes`, `POST /nutrition/recipes/ai` | Каталог + ИИ-генерация (черновик, `id=""""`); добавляется в дневник одним блюдом. |
| **Штрихкод (C2)** | `GET /nutrition/barcode/{code}` | Наш каталог → OpenFoodFacts → кэш как пресет (флайвил). **Ключ Ollama не нужен.** |","Абсолютный минимум калорий для женщины в Tulpar — 1200 ккал/день [1]. Конкретную норму для вас рассчитает тренер с учётом веса, активности и цели [3].

Это общая информация, а не медицинская консультация.",,
q40,Сколько минут в неделю взрослому нужно заниматься по рекомендациям ВОЗ?,"[1] WHO guidelines on physical activity and sedentary behaviour (2020), стр. 45
al activity were observed at 24 minutes 
per day (equivalent to 168 minutes per week), which 
ADULTS (aged 18–64 years)
closely reflects the recommendation of 150 minutes 
per week, and provides new device-based evidence 
reinforcing the existing global guidance to adults of 
150–300 minutes of physical activity per week (65). These 
findings are consistent with the evidence from existing

[2] WHO guidelines on physical activity and sedentary behaviour (2020), стр. 37
its 
occur with 60 minutes of physical activity daily (22, 35), 
and given no contradictory evidence, it was concluded 
that the updated evidence reaffirms the current WHO 
recommendation for 60 minutes of moderate- to 
vigorous-intensity physical activity per day (1). 
However, the review of all evidence, including recent 
results from studies using device-based measures

[3] WHO guidelines on physical activity and sedentary behaviour (2020), стр. 65
The available evidence is from studies typically assessing 
physical activity interventions of 3 or more times weekly.
Overall there was evidence ranging from moderate to high 
certainty to support a physical activity recommendation 
of 150–300 minutes of moderate-intensity physical activity 
(or equivalent) for the specified populations of people

[4] WHO guidelines on physical activity and sedentary behaviour (2020), стр. 12
mmendation, moderate certainty evidence
It is recommended that:
 All adults should undertake regular physical activity.
Strong recommendation, moderate certainty evidence
 Adults should do at least 150–
300 minutes of moderate-intensity 
aerobic physical activity; or at 
least 75–150 minutes of vigorous-
intensity aerobic physical activity; 
or an equivalent combination of","По рекомендациям ВОЗ взрослым (18–64 лет) следует уделять не менее 150–300 минут в неделю аэробной физической активности умеренной интенсивности, либо не менее 75–150 минут в неделю интенсивной, либо эквивалентную комбинацию [4]. Это подтверждается и в других разделах руководства: рекомендация 150–300 минут в неделю указана как основная [1][3].

Это общая информация, а не медицинская консультация.",,
